#NbGenomes	ProgName	DataType	UserTime(s)	WallClockTime(s)	ElapsedTime(s)	IndexTime(s)	QueryTime(s)	WholeRun(s)	MaxResident(KB)
10	Dashing	Simulated	5.25	0.10	0	-	-	-	112284
100	Dashing	Simulated	66.24	0.38	0.03	-	-	-	282184
1000	Dashing Simulated	844.54	2.41	38.79	-	-	-	515540
2000	Dashing	Simulated	2024.00	9.50	103.49	-	-	-	776056
5000	Dashing Simulated	8326.02	26.02	600.58	-	-	-	1557964
10000	Dashing Simulated	28223.68	42.41	1277.00	-	-	-	2822320
20000	Dashing	Simulated	102081.70	92.42	4519	-	-	-	5386232
50000	Dashing	Simulated	592890.30	290.61	26511	-	-	-	13085760
100000	Dashing	Simulated	2323637.17	721.02	102594	-	-	-	25917512

1000	Dashing Real	193.80	2.03 22.84	-	-	-	443512
2000	Dashing Real	1378.58	3.61	64.96	-	-	-	707752
5000	Dashing Real	6990.76	8.89	317.92	-	-	-	1500520
10000	Dashing Real	25795.72	17.77	1126	-	-	-	2765236
20000	Dashing Real	98918.95	42.48	4248 	-	-	-	5350076

2000	MASH	Simulated	7026.25	13.83	301.39	-	-	-	2161712
5000	MASH	Simulated	33862.41	38.73	1432	-	-	-	4527044
10000	MASH	Simulated	121979.04	65.51	5137 	-	-	-	8341312
20000	MASH	Simulated	460966.98	147.99	19524	-	-	-	16087600
50000	MASH	Simulated	2783987.68	1205.52	129419	-	-	-	39163840

2000	MASH	Real	5417.86	4.06	229.77	-	-	-	2080692
5000	MASH	Real	29632.15	8.82	1248.72	-	-	-	4529780
10000	MASH	Real	114223.15	29.69	4806	-	-	-	8513848
20000	MASH	Real	437856.67	39.67	18394 	-	-	-	16499940

2000	NiHM	Real	-	-	-	44.6174	78.061	122.678	-
5000	NiHM	Real	7014.89	31.08	330.82	132.893	196.301	329.193	2786916
10000	NiHM	Real	14219.56	50.34	655.63	257.174	396.572	653.746	4035932
20000	NiHM	Real	28842.19	107.27	1325.59	514.183	809.341	1323.52	6061308
50000	NiHM	Real	73920.52	437.81	3538.51	1319.76	2216.16	3535.92	10699624
100000	NiHM	Real	161361.14	1304.08	7779	2571.29	5204.45	7775.74	19915084
200000	NiHM	Real	400737.30	3012.30	19913	5899.57	14009	19908.6	38088080
500000	NiHM	Real	1730105.59	8904.08	81236	15450.4	65778.4	81228.8	74390840

